Customer_ID,Age,Salary,Experience,Credit_Score,Product_Interest,Purchase_Frequency,Customer_Rating,Purchased
CUST00001,56,63545,17,377,Automobile,33,1,0
CUST00002,69,56855,3,845,Furniture,18,2,0
CUST00003,46,65790,26,508,Furniture,18,4,0
CUST00004,32,81012,24,710,Electronics,2,1,0
CUST00005,60,147827,27,307,Electronics,2,2,0
CUST00006,25,44260,21,526,Clothing,25,1,0
CUST00007,38,31074,24,474,Clothing,5,2,1
CUST00008,56,170547,16,380,Automobile,12,3,0
CUST00009,36,176192,11,356,Electronics,45,1,0
CUST00010,40,184219,15,434,Furniture,37,4,1
CUST00011,28,31986,36,537,Automobile,26,4,0
CUST00012,28,193502,15,771,Electronics,40,5,0
CUST00013,41,85479,16,516,Automobile,23,3,0
CUST00014,53,160833,30,325,Healthcare,9,3,0
CUST00015,57,32176,14,486,Healthcare,15,1,1
CUST00016,41,114258,12,415,Automobile,22,2,1
CUST00017,20,145188,39,462,Electronics,46,5,1
CUST00018,39,114153,26,713,Healthcare,11,3,0
CUST00019,19,188187,20,477,Healthcare,27,3,0
CUST00020,41,107442,1,579,Automobile,12,4,0
CUST00021,61,70002,7,511,Healthcare,17,4,1
CUST00022,47,87124,6,353,Furniture,1,2,1
CUST00023,55,167682,9,366,Healthcare,45,1,0
CUST00024,19,79752,3,843,Automobile,16,2,0
CUST00025,38,108947,35,819,Healthcare,22,1,0
CUST00026,50,148972,34,798,Healthcare,22,5,0
CUST00027,29,104716,2,730,Clothing,0,3,0
CUST00028,39,40073,17,345,Automobile,42,2,1
CUST00029,61,67251,23,334,Automobile,13,1,1
CUST00030,42,126496,31,488,Clothing,11,5,0
CUST00031,66,68897,33,388,Clothing,13,2,1
CUST00032,44,81616,1,634,Furniture,48,3,1
CUST00033,59,34482,1,435,Healthcare,43,5,1
CUST00034,45,137990,9,845,Electronics,37,4,1
CUST00035,33,73284,22,412,Electronics,40,3,1
CUST00036,32,102932,14,471,Clothing,43,4,0
CUST00037,64,37338,11,638,Automobile,48,5,0
CUST00038,68,173572,16,824,Automobile,15,5,0
CUST00039,61,172617,17,473,Furniture,33,4,0
CUST00040,69,91480,13,631,Electronics,17,1,1
CUST00041,20,166313,16,506,Automobile,47,5,1
CUST00042,54,183893,14,642,Furniture,9,2,0
CUST00043,68,34695,11,403,Furniture,18,2,1
CUST00044,24,44318,15,339,Clothing,29,5,0
